category;description;description_stem
I08;doencas multiplas valvas;doenc multipl valv
I09;outras doencas reumaticas coracao;outr doenc reumat coraca
I10;hipertensao essencial ( primaria );hipertensa essencial ( primar )
I11;doenca cardiaca hipertensiva;doenc cardiac hipertens
I12;doenca renal hipertensiva;doenc renal hipertens
I13;doenca cardiaca renal hipertensiva;doenc cardiac renal hipertens
I15;hipertensao secundaria;hipertensa secundar
I20;angina pectoris;angin pector
I21;infarto agudo miocardio;infart agud miocardi
I22;infarto miocardio recorrente;infart miocardi recorrent
I23;algumas complicacoes atuais subsequentes infarto agudo miocardio;algum complic atu subsequent infart agud miocardi
I24;outras doencas isquemicas agudas coracao;outr doenc isquem agud coraca
I25;doenca isquemica cronica coracao;doenc isquem cronic coraca
I26;embolia pulmonar;embol pulmon
I27;outras formas doenca cardiaca pulmonar;outr form doenc cardiac pulmon
I28;outras doencas vasos pulmonares;outr doenc vas pulmon
I30;pericardite aguda;pericardit agud
I31;outras doencas pericardio;outr doenc pericardi
I32;pericardite doencas classificadas outra parte;pericardit doenc classific outr part
I33;endocardite aguda subaguda;endocardit agud subagud
I34;transtornos - reumaticos valva mitral;transtorn - reumat valv mitral
I35;transtornos - reumaticos valva aortica;transtorn - reumat valv aortic
I36;transtornos - reumaticos valva tricuspide;transtorn - reumat valv tricuspid
I37;transtornos valva pulmonar;transtorn valv pulmon
I38;endocardite valva especificada;endocardit valv especific
I39;endocardite transtornos valvulares cardiacos doencas classificadas outra parte;endocardit transtorn valvul cardiac doenc classific outr part
I40;miocardite aguda;miocardit agud
I41;miocardite doencas classificadas outra parte;miocardit doenc classific outr part
I42;cardiomiopatias;cardiomiopat
I43;cardiomiopatia doencas classificadas outra parte;cardiomiopat doenc classific outr part
I44;bloqueio atrioventricular ramo esquerdo;bloquei atrioventricul ram esquerd
I45;outros transtornos conducao;outr transtorn conduca
I46;parada cardiaca;par cardiac
I47;taquicardia paroxistica;taquicard paroxist
I48;flutter fibrilacao atrial;flutt fibril atrial
I49;outras arritmias cardiacas;outr arritm cardiac
I50;insuficiencia cardiaca;insuficient cardiac
I51;complicacoes cardiopatias doencas cardiacas mal definidas;complic cardiopat doenc cardiac mal defin
I52;outras afeccoes cardiacas doencas classificadas outra parte;outr afecco cardiac doenc classific outr part
I60;hemorragia subaracnoide;hemorrag subaracnoid
I61;hemorragia intracerebral;hemorrag intracerebral
I62;outras hemorragias intracranianas - traumaticas;outr hemorrag intracranian - traumat
I63;infarto cerebral;infart cerebral
I64;acidente vascular cerebral , especificado hemorragico isquemico;acident vascul cerebral , especific hemorrag isquem
I65;oclusao estenose arterias pre - cerebrais resultam infarto cerebral;oclusa estenos arter pre - cerebr result infart cerebral
I66;oclusao estenose arterias cerebrais resultam infarto cerebral;oclusa estenos arter cerebr result infart cerebral
I67;outras doencas cerebrovasculares;outr doenc cerebrovascul
I68;transtornos cerebrovasculares doencas classificadas outra parte;transtorn cerebrovascul doenc classific outr part
I69;sequelas doencas cerebrovasculares;sequel doenc cerebrovascul
I70;aterosclerose;ateroscleros
I71;aneurisma disseccao aorta;aneurism dissecca aort
I72;outros aneurismas;outr aneurism
I73;outras doencas vasculares perifericas;outr doenc vascul perifer
I74;embolia trombose arteriais;embol trombos arteri
I77;outras afeccoes arterias arteriolas;outr afecco arter arteriol
I78;doencas capilares;doenc capil
I79;transtornos arterias , arteriolas capilares doencas classificadas outra parte;transtorn arter , arteriol capil doenc classific outr part
I80;flebite tromboflebite;flebit tromboflebit
I81;trombose veia porta;trombos vei port
I82;outra embolia trombose venosas;outr embol trombos venos
I83;varizes membros inferiores;variz membr inferior
I84;hemorroidas;hemorro
I85;varizes esofagianas;variz esofagian
I86;varizes outras localizacoes;variz outr localiz
I87;outros transtornos veias;outr transtorn vei
I88;linfadenite inespecifica;linfadenit inespecif
I89;outros transtornos - infecciosos vasos linfaticos ganglios linfaticos;outr transtorn - infecc vas linfat gangli linfat
I95;hipotensao;hipotensa
I97;transtornos aparelho circulatorio , subsequentes procedimentos classificados outra parte;transtorn aparelh circulatori , subsequent proced classific outr part
I98;outros transtornos aparelho circulatorio doencas classificadas outra parte;outr transtorn aparelh circulatori doenc classific outr part
I99;outros transtornos aparelho circulatorio especificados;outr transtorn aparelh circulatori especific
J00;nasofaringite aguda [ resfriado comum ];nasofaringit agud [ resfri comum ]
J01;sinusite aguda;sinusit agud
J02;faringite aguda;faringit agud
J03;amigdalite aguda;amigdalit agud
J04;laringite traqueite agudas;laringit traqueit agud
J05;laringite obstrutiva aguda [ crupe ] epiglotite;laringit obstrut agud [ crup ] epiglotit
J06;infeccoes agudas vias aereas superiores localizacoes multiplas especificadas;infecco agud vias aer superior localiz multipl especific
J09;influenza [ gripe ] devida virus identificado gripe aviaria;influenz [ grip ] dev virus identific grip aviar
J10;influenza devida outro virus influenza [ gripe ] identificado;influenz dev outr virus influenz [ grip ] identific
J11;influenza [ gripe ] devida virus identificado;influenz [ grip ] dev virus identific
J12;pneumonia viral classificada outra parte;pneumon viral classific outr part
J13;pneumonia devida streptococcus pneumoniae;pneumon dev streptococcus pneumonia
J14;pneumonia devida haemophilus infuenzae;pneumon dev haemophilus infuenza
J15;pneumonia bacteriana classificada outra parte;pneumon bacterian classific outr part
J16;pneumonia devida outros microorganismos infecciosos especificados classificados outra parte;pneumon dev outr microorgan infecc especific classific outr part
J17;pneumonia doencas classificadas outra parte;pneumon doenc classific outr part
J18;pneumonia microorganismo especificada;pneumon microorgan especific
J20;bronquite aguda;bronquit agud
J21;bronquiolite aguda;bronquiolit agud
J22;infeccoes agudas especificada vias aereas inferiores;infecco agud especific vias aer inferior
J30;rinite alergica vasomotora;rinit alerg vasomotor
J31;rinite , nasofaringite faringite cronicas;rinit , nasofaringit faringit cronic
J32;sinusite cronica;sinusit cronic
J33;polipo nasal;polip nasal
J34;outros transtornos nariz seios paranasais;outr transtorn nariz sei paranas
J35;doencas cronicas amigdalas adenoides;doenc cronic amigdal adenoid
J36;abscesso periamigdaliano;abscess periamigdalian
J37;laringite laringotraqueite cronicas;laringit laringotraqueit cronic
J38;doencas cordas vocais laringe classificadas outra parte;doenc cord voc laring classific outr part
J39;outras doencas vias aereas superiores;outr doenc vias aer superior
J40;bronquite especificada aguda cronica;bronquit especific agud cronic
J41;bronquite cronica simples mucopurulenta;bronquit cronic simpl mucopurulent
J42;bronquite cronica especificada;bronquit cronic especific
J43;enfisema;enfisem
J44;outras doencas pulmonares obstrutivas cronicas;outr doenc pulmon obstrut cronic
J45;asma;asma
J46;estado mal asmatico;estad mal asmat
J47;bronquectasia;bronquectas
J60;pneumoconiose mineiros carvao;pneumoconios mineir carva
J61;pneumoconiose devida amianto [ asbesto ] outras fibras minerais;pneumoconios dev amiant [ asbest ] outr fibr miner
J62;pneumoconiose devida poeira contenham silica;pneumoconios dev poeir contenh silic
J63;pneumoconiose devida outras poeiras inorganicas;pneumoconios dev outr poeir inorgan
J64;pneumoconiose especificada;pneumoconios especific
J65;pneumoconiose associada tuberculose;pneumoconios assoc tuberculos
J66;doencas vias aereas devida poeiras organicas especificas;doenc vias aer dev poeir organ especif
J67;pneumonite hipersensibilidade devida poeiras organicas;pneumonit hipersensibil dev poeir organ
J68;afeccoes respiratorias devidas inalacao produtos quimicos , gases , fumacas vapores;afecco respirator dev inal produt quimic , gas , fumac vapor
J69;pneumonite devida solidos liquidos;pneumonit dev sol liqu
J70;afeccoes respiratorias devida outros agentes externos;afecco respirator dev outr agent extern
J80;sindrome desconforto respiratorio adulto;sindrom desconfort respiratori adult
J81;edema pulmonar , especificado outra forma;edem pulmon , especific outr form
J82;eosinofilia pulmonar , classificada outra parte;eosinofil pulmon , classific outr part
J84;outras doencas pulmonares intersticiais;outr doenc pulmon interstic
J85;abscesso pulmao mediastino;abscess pulma mediastin
J86;piotorax;piotorax
J90;derrame pleural classificado outra parte;derram pleural classific outr part
J91;derrame pleural afeccoes classificadas outra parte;derram pleural afecco classific outr part
J92;placas pleurais;plac pleur
J93;pneumotorax;pneumotorax
J94;outras afeccoes pleurais;outr afecco pleur
J95;afeccoes respiratorias pos - procedimentos classificadas outra parte;afecco respirator pos - proced classific outr part
J96;insuficiencia respiratoria classificada outra parte;insuficient respirator classific outr part
J98;outros transtornos respiratorios;outr transtorn respiratori
J99;transtornos respiratorios doencas classificadas outra parte;transtorn respiratori doenc classific outr part
K00;disturbios desenvolvimento erupcao dentes;disturbi desenvolv erupca dent
K01;dentes inclusos impactados;dent inclus impact
K02;carie dentaria;cari dentar
K03;outras doencas tecidos dentarios duros;outr doenc tec dentari dur
K04;doencas polpa tecidos periapicais;doenc polp tec periapic
K05;gengivite doencas periodontais;gengivit doenc periodont
K06;outros transtornos gengiva rebordo alveolar dentes;outr transtorn gengiv rebord alveol dent
K07;anomalias dentofaciais ( inclusive maloclusao );anomal dentofac ( inclusiv maloclusa )
K08;outros transtornos dentes estruturas sustentacao;outr transtorn dent estrutur sustent
K09;cistos regiao bucal classificados outra parte;cist regia bucal classific outr part
K10;outras doencas maxilares;outr doenc maxil
K11;doencas glandulas salivares;doenc glandul saliv
K12;estomatite lesoes correlatas;estomatit leso correlat
K13;outras doencas labio mucosa oral;outr doenc labi mucos oral
K14;doencas lingua;doenc lingu
K20;esofagite;esofagit
K21;doenca refluxo gastroesofagico;doenc reflux gastroesofag
K22;outras doencas esofago;outr doenc esofag
K23;transtornos esofago doencas classificadas outra parte;transtorn esofag doenc classific outr part
K25;ulcera gastrica;ulcer gastric
K26;ulcera duodenal;ulcer duodenal
K27;ulcera peptica localizacao especificada;ulcer peptic localiz especific
K28;ulcera gastrojejunal;ulcer gastrojejunal
K29;gastrite duodenite;gastrit duodenit
K30;dispepsia;dispeps
K31;outras doencas estomago duodeno;outr doenc estomag duoden
K35;apendicite aguda;apendicit agud
K36;outras formas apendicite;outr form apendicit
K37;apendicite , outras especificacoes;apendicit , outr especific
K38;outras doencas apendice;outr doenc apendic
K40;hernia inguinal;hern inguinal
K41;hernia femoral;hern femoral
K42;hernia umbilical;hern umbilical
K43;hernia ventral;hern ventral
K44;hernia diafragmatica;hern diafragmat
K45;outras hernias abdominais;outr hern abdomin
K46;hernia abdominal especificada;hern abdominal especific
K50;doenca crohn [ enterite regional ];doenc crohn [ enterit regional ]
K51;colite ulcerativa;colit ulcer
K52;outras gastroenterites colites - infecciosas;outr gastroenterit colit - infecc
K55;transtornos vasculares intestino;transtorn vascul intestin
K56;ileo paralitico obstrucao intestinal hernia;ile paralit obstruca intestinal hern
K57;doenca diverticular intestino;doenc diverticul intestin
K58;sindrome colon irritavel;sindrom colon irrit
K59;outros transtornos funcionais intestino;outr transtorn funcion intestin
K60;fissura fistula regioes anal retal;fissur fistul regio anal retal
K61;abscesso regioes anal retal;abscess regio anal retal
K62;outras doencas reto anus;outr doenc ret anus
K63;outras doencas intestino;outr doenc intestin
K65;peritonite;peritonit
K66;outros transtornos peritonio;outr transtorn peritoni
K67;comprometimento peritonio , doencas infecciosas classificadas outra parte;compromet peritoni , doenc infecc classific outr part
K70;doenca alcoolica figado;doenc alcool fig
K71;doenca hepatica toxica;doenc hepat toxic
K72;insuficiencia hepatica classificada outra parte;insuficient hepat classific outr part
K73;hepatite cronica classificada outra parte;hepatit cronic classific outr part
K74;fibrose cirrose hepaticas;fibros cirros hepat
K75;outras doencas inflamatorias figado;outr doenc inflamator fig
K76;outras doencas figado;outr doenc fig
K77;transtornos figado doencas classificadas outra parte;transtorn fig doenc classific outr part
K80;colelitiase;colelitias
K81;colecistite;colecistit
K82;outras doencas vesicula biliar;outr doenc vesicul bili
K83;outras doencas vias biliares;outr doenc vias bili
K85;pancreatite aguda;pancreatit agud
K86;outras doencas pancreas;outr doenc pancr
K87;transtornos vesicula biliar , vias biliares pancreas doencas classificadas outra parte;transtorn vesicul bili , vias bili pancr doenc classific outr part
K90;- absorcao intestinal;- absorca intestinal
K91;transtornos aparelho digestivo pos - procedimentos , classificados outra parte;transtorn aparelh digest pos - proced , classific outr part
K92;outras doencas aparelho digestivo;outr doenc aparelh digest
K93;transtornos outros orgaos digestivos doencas classificadas outra parte;transtorn outr orga digest doenc classific outr part
L00;sindrome pele escaldada estafilococica recem - nascido;sindrom pel escald estafilococ recem - nasc
L01;impetigo;impetig
L02;abscesso cutaneo , furunculo antraz;abscess cutan , furuncul antraz
L03;celulite ( flegmao );celulit ( flegma )
L04;linfadenite aguda;linfadenit agud
L05;cisto pilonidal;cist pilonidal
L08;outras infeccoes localizadas pele tecido subcutaneo;outr infecco localiz pel tec subcutan
L10;penfigo;penfig
L11;outras afeccoes acantoliticas;outr afecco acantolit
L12;penfigoide;penfigoid
L13;outras afeccoes bolhosas;outr afecco bolhos
L14;afeccoes bolhosas doencas classificadas outra parte;afecco bolhos doenc classific outr part
L20;dermatite atopica;dermatit atop
L21;dermatite seborreica;dermatit seborr
L22;dermatite fraldas;dermatit frald
L23;dermatites alergicas contato;dermatit alerg contat
L24;dermatites contato irritantes;dermatit contat irrit
L25;dermatite contato especificada;dermatit contat especific
L26;dermatite esfoliativa;dermatit esfoli
L27;dermatite devida substancias uso interno;dermatit dev substanc uso intern
L28;liquen simples cronico prurigo;liquen simpl cronic prurig
L29;prurido;prur
L30;outras dermatites;outr dermatit
L40;psoriase;psorias
L41;parapsoriase;parapsorias
L42;pitiriase rosea;pitirias ros
L43;liquen plano;liquen plan
L44;outras afeccoes papulo - descamativas;outr afecco papul - descam
L45;afeccoes papulo - descamativas doencas classificadas outra parte;afecco papul - descam doenc classific outr part
L50;urticaria;urticar
L51;eritema polimorfo ( eritema multiforme );eritem polimorf ( eritem multiform )
L52;eritema nodoso;eritem nodos
L53;outras afeccoes eritematosas;outr afecco eritemat
L54;eritema doencas classificadas outra parte;eritem doenc classific outr part
L55;queimadura solar;queimadur sol
L56;outras alteracoes agudas pele devidas radiacao ultravioleta;outr alter agud pel dev radiaca ultraviolet
L57;alteracoes pele devidas exposicao cronica radiacao ionizante;alter pel dev exposica cronic radiaca ioniz
L58;radiodermatite;radiodermatit
L59;outras afeccoes pele tecido subcutaneo relacionadas radiacao;outr afecco pel tec subcutan relacion radiaca
L60;afeccoes unhas;afecco unhas
L62;afeccoes unhas doencas classificadas outra parte;afecco unhas doenc classific outr part
L63;alopecia areata;alopec areat
L64;alopecia androgenica;alopec androgen
L65;outras formas cicatriciais perda cabelos pelos;outr form cicatric perd cabel pel
L66;alopecia cicatricial [ perda cabelos pelos , cicatricial ];alopec cicatricial [ perd cabel pel , cicatricial ]
L67;anormalidades cor pediculo cabelos pelos;anormal cor pedicul cabel pel
L68;hipertricose;hipertricos
L70;acne;acne
L71;rosacea;rosac
L72;cistos foliculares pele tecido subcutaneo;cist folicul pel tec subcutan
L73;outras afeccoes foliculares;outr afecco folicul
L74;afeccoes glandulas sudoriparas ecrinas;afecco glandul sudorip ecrin
L75;afeccoes glandulas sudoriparas apocrinas;afecco glandul sudorip apocrin
L80;vitiligo;vitilig
L81;outros transtornos pigmentacao;outr transtorn pigment
L82;ceratose seborreica;ceratos seborr
L83;acantose nigricans;acantos nigricans
L84;calos calosidades;cal calos
L85;outras formas espessamento epidermico;outr form espess epiderm
L86;ceratodermia doencas classificadas outra parte;ceratoderm doenc classific outr part
L87;transtornos eliminacao transepidermica;transtorn elimin transepiderm
L88;piodermite gangrenosa;piodermit gangren
L89;ulcera decubito;ulcer decubit
L90;afeccoes atroficas pele;afecco atrof pel
L91;afeccoes hipertroficas pele;afecco hipertrof pel
L92;afeccoes granulomatosas pele tecido subcutaneo;afecco granulomat pel tec subcutan
L93;lupus eritematoso;lupus eritemat
L94;outras afeccoes localizadas tecido conjuntivo;outr afecco localiz tec conjunt
L95;vasculite limitada pele classificadas outra parte;vasculit limit pel classific outr part
L97;ulcera membros inferiores classificada outra parte;ulcer membr inferior classific outr part
L98;outras afeccoes pele tecido subcutaneo classificadas outra parte;outr afecco pel tec subcutan classific outr part
L99;outras afeccoes pele tecido subcutaneo doencas classificadas outra parte;outr afecco pel tec subcutan doenc classific outr part
M00;artrite piogenica;artrit piogen
M01;infeccoes diretas articulacao doencas infecciosas parasitarias classificadas outra parte;infecco diret articul doenc infecc parasitar classific outr part
M02;artropatias reacionais;artropat reacion
M03;artropatias pos - infecciosas reacionais doencas infecciosas classificadas outra parte;artropat pos - infecc reacion doenc infecc classific outr part
M05;artrite reumatoide soro - positiva;artrit reumatoid sor - posit
M06;outras artrites reumatoides;outr artrit reumatoid
M07;artropatias psoriasicas enteropaticas;artropat psorias enteropat
M08;artrite juvenil;artrit juvenil
M09;artrite juvenil doencas classificadas outra parte;artrit juvenil doenc classific outr part
M10;gota;got
M11;outras artropatias deposicao cristais;outr artropat deposica crist
M12;outras artropatias especificadas;outr artropat especific
M13;outras artrites;outr artrit
M14;artropatias outras doencas classificadas outra parte;artropat outr doenc classific outr part
M15;poliartrose;poliartros
M16;coxartrose [ artrose quadril ];coxartros [ artros quadril ]
M17;gonartrose [ artrose joelho ];gonartros [ artros joelh ]
M18;artrose primeira articulacao carpometacarpiana;artros primeir articul carpometacarpian
M19;outras artroses;outr artros
M20;deformidades adquiridas dedos maos pes;deform adquir ded ma pes
M21;outras deformidades adquiridas membros;outr deform adquir membr
M22;transtornos rotula [ patela ];transtorn rotul [ patel ]
M23;transtornos internos joelhos;transtorn intern joelh
M24;outros transtornos articulares especificos;outr transtorn articul especif
M25;outros transtornos articulares classificados outra parte;outr transtorn articul classific outr part
M30;poliarterite nodosa afeccoes correlatas;poliarterit nodos afecco correlat
M31;outras vasculopatias necrotizantes;outr vasculopat necrotiz
M32;lupus eritematoso disseminado [ sistemico ];lupus eritemat dissemin [ sistem ]
M33;dermatopoliomiosite;dermatopoliomiosit
M34;esclerose sistemica;escleros sistem
M35;outras afeccoes sistemicas tecido conjuntivo;outr afecco sistem tec conjunt
M36;doencas sistemicas tecido conjuntivo doencas classificadas outra parte;doenc sistem tec conjunt doenc classific outr part
M40;cifose lordose;cifos lordos
M41;escoliose;escolios
M42;osteocondrose coluna vertebral;osteocondros colun vertebral
M43;outras dorsopatias deformantes;outr dorsopat deform
M45;espondilite ancilosante;espondilit ancilos
M46;outras espondilopatias inflamatorias;outr espondilopat inflamator
M47;espondilose;espondilos
M48;outras espondilopatias;outr espondilopat
M49;espondilopatias doencas classificadas outra parte;espondilopat doenc classific outr part
M50;transtornos discos cervicais;transtorn disc cervic
M51;outros transtornos discos intervertebrais;outr transtorn disc intervertebr
M53;outras dorsopatias classificadas outra parte;outr dorsopat classific outr part
M54;dorsalgia;dorsalg
M60;miosite;miosit
M61;calcificacao ossificacao musculo;calcific ossific muscul
M62;outros transtornos musculares;outr transtorn muscul
M63;transtornos musculo doencas classificadas outra parte;transtorn muscul doenc classific outr part
M65;sinovite tenossinovite;sinovit tenossinovit
M66;ruptura espontanea sinovia tendao;ruptur espontan sinov tenda
M67;outros transtornos sinovias tendoes;outr transtorn sinov tendo
M68;transtorno sinovias tendoes doencas classificadas outra parte;transtorn sinov tendo doenc classific outr part
M70;transtornos tecidos moles relacionados uso , uso excessivo pressao;transtorn tec mol relacion uso , uso excess pressa
M71;outras bursopatias;outr bursopat
M72;transtornos fibroblasticos;transtorn fibroblast
M73;transtornos tecidos moles doencas classificadas outra parte;transtorn tec mol doenc classific outr part
M75;lesoes ombro;leso ombro
M76;entesopatias membros inferiores , excluindo;entesopat membr inferior , exclu
M77;outras entesopatias;outr entesopat
M79;outros transtornos tecidos moles , classificados outra parte;outr transtorn tec mol , classific outr part
M80;osteoporose fratura patologica;osteoporos fratur patolog
M81;osteoporose fratura patologica;osteoporos fratur patolog
M82;osteoporose doencas classificadas outra parte;osteoporos doenc classific outr part
M83;osteomalacia adulto;osteomalac adult
M84;transtornos continuidade osso;transtorn continu osso
M85;outros transtornos densidade estrutura osseas;outr transtorn densidad estrutur osse
M86;osteomielite;osteomielit
M87;osteonecrose;osteonecros
M88;doenca paget osso ( osteite deformante );doenc paget osso ( osteit deform )
M89;outros transtornos osseos;outr transtorn osse
M90;osteopatias doencas classificadas outra parte;osteopat doenc classific outr part
M91;osteocondrose juvenil quadril pelve;osteocondros juvenil quadril pelv
M92;outras osteocondroses juvenis;outr osteocondros juven
M93;outras osteocondropatias;outr osteocondropat
M94;outros transtornos cartilagens;outr transtorn cartilagens
M95;outras deformidades adquiridas sistema osteomuscular tecido conjuntivo;outr deform adquir sistem osteomuscul tec conjunt
M96;transtornos osteomusculares pos - procedimentos classificados outra parte;transtorn osteomuscul pos - proced classific outr part
M99;lesoes biomecanicas classificadas outra parte;leso biomecan classific outr part
N00;sindrome nefritica aguda;sindrom nefrit agud
N01;sindrome nefritica rapidamente progressiva;sindrom nefrit rapid progress
N02;hematuria recidivante persistente;hematur recidiv persistent
N03;sindrome nefritica cronica;sindrom nefrit cronic
N04;sindrome nefrotica;sindrom nefrot
N05;sindrome nefritica especificada;sindrom nefrit especific
N06;proteinuria isolada lesao morfologica especificada;proteinur isol lesa morfolog especific
N07;nefropatia hereditaria classificada outra parte;nefropat hereditar classific outr part
N08;transtornos glomerulares doencas classificadas outra parte;transtorn glomerul doenc classific outr part
N10;nefrite tubulo - intersticial aguda;nefrit tubul - intersticial agud
N11;nefrite tubulo - intersticial cronica;nefrit tubul - intersticial cronic
N12;nefrite tubulo - intersticial especificada aguda cronica;nefrit tubul - intersticial especific agud cronic
N13;uropatia obstrutiva refluxo;uropat obstrut reflux
N14;afeccoes tubulares tubulo - intersticiais induzidas drogas metais pesados;afecco tubul tubul - interstic induz drog met pes
N15;outras doencas renais tubulo - intersticiais;outr doenc ren tubul - interstic
N16;transtornos renais tubulo - intersticiais doencas classificadas outra parte;transtorn ren tubul - interstic doenc classific outr part
N17;insuficiencia renal aguda;insuficient renal agud
N18;insuficiencia renal cronica;insuficient renal cronic
N19;insuficiencia renal especificada;insuficient renal especific
N20;calculose rim ureter;calculos rim uret
N21;calculose trato urinario inferior;calculos trat urinari inferior
N22;calculose trato urinario inferior doencas classificadas outra parte;calculos trat urinari inferior doenc classific outr part
N23;colica nefretica especificada;colic nefret especific
N25;transtornos resultantes funcao renal tubular alterada;transtorn result funca renal tubul alter
N26;rim contraido , especificado;rim contraid , especific
N27;hipoplasia renal causa desconhecida;hipoplas renal caus desconhec
N28;outros transtornos rim ureter classificado outra parte;outr transtorn rim uret classific outr part
N29;outros transtornos rim ureter doencas classificadas outra parte;outr transtorn rim uret doenc classific outr part
N30;cistite;cistit
N31;disfuncoes neuromusculares bexiga classificados outra parte;disfunco neuromuscul bexig classific outr part
N32;outros transtornos bexiga;outr transtorn bexig
N33;transtornos bexiga doencas classificadas outra parte;transtorn bexig doenc classific outr part
N34;uretrite sindrome uretral;uretrit sindrom uretral
N35;estenose uretra;estenos uretr
N36;outros transtornos uretra;outr transtorn uretr
N37;transtornos uretra doencas classificadas outra parte;transtorn uretr doenc classific outr part
N39;outros transtornos trato urinario;outr transtorn trat urinari
N40;hiperplasia prostata;hiperplas prostat
N41;doencas inflamatorias prostata;doenc inflamator prostat
N42;outras afeccoes prostata;outr afecco prostat
N43;hidrocele espermatocele;hidrocel espermatocel
N44;torcao testiculo;torca testicul
N45;orquite epididimite;orquit epididimit
N46;infertilidade masculina;infertil masculin
N47;hipertrofia prepucio , fimose parafimose;hipertrof prepuci , fimos parafimos
N48;outros transtornos penis;outr transtorn pen
N49;transtornos inflamatorios orgaos genitais masculinos , classificados outra parte;transtorn inflamatori orga genit masculin , classific outr part
N50;outros transtornos orgaos genitais masculinos;outr transtorn orga genit masculin
N51;transtornos orgaos genitais masculinos doencas classificadas outra parte;transtorn orga genit masculin doenc classific outr part
N60;displasias mamarias benignas;displas mamar benign
N61;transtornos inflamatorios mama;transtorn inflamatori mam
N62;hipertrofia mama;hipertrof mam
N63;nodulo mamario especificado;nodul mamari especific
N64;outras doencas mama;outr doenc mam
N70;salpingite ooforite;salpingit ooforit
N71;doenca inflamatoria utero , exceto colo;doenc inflamator uter , excet col
N72;doenca inflamatoria colo utero;doenc inflamator col uter
N73;outras doencas inflamatorias pelvicas femininas;outr doenc inflamator pelvic feminin
N74;transtornos inflamatorios pelve feminina doencas classificadas outra parte;transtorn inflamatori pelv feminin doenc classific outr part
N75;doencas glandula bartholin;doenc glandul bartholin
N76;outras afeccoes inflamatorias vagina vulva;outr afecco inflamator vagin vulv
N77;ulceracao inflamacao vulvovaginais doencas classificadas outra parte;ulcer inflam vulvovagin doenc classific outr part
N80;endometriose;endometrios
N81;prolapso genital feminino;prolaps genital feminin
N82;fistulas trato genital feminino;fistul trat genital feminin
N83;transtornos - inflamatorios ovario , trompa falopio ligamento largo;transtorn - inflamatori ovari , tromp falopi ligament larg
N84;polipo trato genital feminino;polip trat genital feminin
N85;outros transtornos - inflamatorios utero , exceto colo utero;outr transtorn - inflamatori uter , excet col uter
N86;erosao ectropio colo utero;erosa ectropi col uter
N87;displasia colo utero;displas col uter
N88;outros transtornos - inflamatorios colo utero;outr transtorn - inflamatori col uter
N89;outros transtornos - inflamatorios vagina;outr transtorn - inflamatori vagin
N90;outros transtornos - inflamatorios vulva perineo;outr transtorn - inflamatori vulv perin
N91;menstruacao ausente , escassa pouco frequente;menstruaca ausent , escass pouc frequent
N92;menstruacao excessiva , frequente irregular;menstruaca excess , frequent irregul
N93;outros sangramentos anormais utero vagina;outr sangrament anorm uter vagin
N94;dor outras afeccoes associadas orgaos genitais femininos ciclo menstrual;dor outr afecco assoc orga genit feminin cicl menstrual
N95;transtornos menopausa perimenopausa;transtorn menopaus perimenopaus
N96;abortamento habitual;abort habitual
N97;infertilidade feminina;infertil feminin
N98;complicacoes associadas fecundacao artificial;complic assoc fecund artificial
N99;transtornos trato geniturinario pos - procedimentos classificados outra parte;transtorn trat geniturinari pos - proced classific outr part
O00;gravidez ectopica;gravidez ectop
O01;mola hidatiforme;mol hidatiform
O02;outros produtos anormais concepcao;outr produt anorm concepca
O03;aborto espontaneo;abort espontan
O04;aborto razoes medicas legais;abort razo medic leg
O05;outros tipos aborto;outr tip abort
O06;aborto especificado;abort especific
O07;falha tentativa aborto;falh tentat abort
O08;complicacoes consequentes aborto gravidez ectopica molar;complic consequent abort gravidez ectop mol
O10;hipertensao pre - existente complicando gravidez , parto puerperio;hipertensa pre - existent complic gravidez , part puerperi
O11;disturbio hipertensivo pre - existente proteinuria superposta;disturbi hipertens pre - existent proteinur superpost
O12;edema proteinuria gestacionais [ induzidos gravidez ] , hipertensao;edem proteinur gestacion [ induz gravidez ] , hipertensa
O13;hipertensao gestacional [ induzida gravidez ] proteinuria significativa;hipertensa gestacional [ induz gravidez ] proteinur signific
O14;hipertensao gestacional [ induzida gravidez ] proteinuria significativa;hipertensa gestacional [ induz gravidez ] proteinur signific
O15;eclampsia;eclamps
O16;hipertensao materna especificada;hipertensa matern especific
O20;hemorragia inicio gravidez;hemorrag inici gravidez
O21;vomitos excessivos gravidez;vomit excess gravidez
O22;complicacoes venosas gravidez;complic venos gravidez
O23;infeccoes trato geniturinario gravidez;infecco trat geniturinari gravidez
O24;diabetes mellitus gravidez;diabet mellitus gravidez
O25;desnutricao gravidez;desnutrica gravidez
O26;assistencia materna outras complicacoes ligadas predominantemente gravidez;assistent matern outr complic lig predomin gravidez
O28;"achados anormais rastreamento [ "" screening "" ] antenatal mae";"achad anorm rastreament [ "" screening "" ] antenatal ma"
O29;complicacoes anestesia administrada durante gravidez;complic anestes administr durant gravidez
O30;gestacao multipla;gestaca multipl
O31;complicacoes especificas gestacao multipla;complic especif gestaca multipl
O32;assistencia prestada mae motivo apresentacao anormal , conhecida suspeitada , feto;assistent prest ma motiv apresent anormal , conhec suspeit , fet
O33;assistencia prestada mae desproporcao conhecida suspeita;assistent prest ma desproporca conhec suspeit
